,Model,Make,Transmission,Engine,Year,KM,Price,Owner
220,Hyundaii20Active,1.2 S Manual,Manual,Petrol,2015,"48,628 km","₹5,45,499",1st Owner
221,MarutiCelerio,VXI Manual,Manual,Petrol,2019,"13,079 km","₹4,98,299",1st Owner
222,FordNewFigo,1.5 TITANIUM Manual,Manual,Diesel,2017,"31,011 km","₹5,16,999",2nd Owner
223,HyundaiElitei20,SPORTZ (O) 1.2 Manual,Manual,Petrol,2015,"50,078 km","₹5,69,899",1st Owner
224,MarutiOMNIE,STD Manual,Manual,Petrol,2017,"69,208 km","₹3,03,999",1st Owner
225,Hyundaii20,SPORTZ 1.4 CRDI Manual,Manual,Diesel,2013,"69,617 km","₹3,55,899",1st Owner
226,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2013,"61,203 km","₹3,43,299",2nd Owner
227,MarutiAlto800,LXI Manual,Manual,Petrol,2013,"64,676 km","₹2,08,899",1st Owner
228,MarutiAlto800,LXI Manual,Manual,Petrol,2016,"47,745 km","₹2,73,599",1st Owner
229,HyundaiEon,ERA PLUS Manual,Manual,Petrol,2017,"69,144 km","₹3,24,399",1st Owner
230,MarutiSwiftDzire,VXI AT Automatic,Automatic,Petrol,2015,"56,836 km","₹4,99,299",1st Owner
231,VolkswagenPolo,HIGHLINE1.2L PETROL Manual,Manual,Petrol,2014,"70,475 km","₹4,09,699",1st Owner
232,JeepCompass,2.0 LONGITUDE (O) Manual,Manual,Diesel,2018,"14,974 km","₹15,59,699",1st Owner
233,MarutiBaleno,DELTA DDIS 190 Manual,Manual,Diesel,2017,"37,606 km","₹5,71,899",2nd Owner
234,MarutiIGNIS,DELTA 1.2 K12 Manual,Manual,Petrol,2019,"1,278 km","₹5,79,299",1st Owner
235,VolkswagenPolo,HIGHLINE1.2L PETROL Manual,Manual,Petrol,2015,"67,132 km","₹5,26,699",1st Owner
236,HondaJazz,1.2 SV MT Manual,Manual,Petrol,2017,"41,659 km","₹5,48,399",2nd Owner
237,HyundaiElitei20,ASTA 1.2 Manual,Manual,Petrol,2015,"56,235 km","₹5,66,999",2nd Owner
238,MarutiAltoK10,VXI Manual,Manual,Petrol,2017,"64,909 km","₹3,12,799",1st Owner
239,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2018,"34,144 km","₹3,80,999",1st Owner
240,MarutiBaleno,ZETA 1.2 K12 Manual,Manual,Petrol,2019,"8,872 km","₹7,12,699",2nd Owner
241,MarutiSwift,VXI Manual,Manual,Petrol,2019,"6,240 km","₹6,42,599",1st Owner
